lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,Expiration
2024-06-28,100.0,113.5,115.75,118.1,0.0,0.0,7.0,9,2.863284091796875,True,2024-07-05
2024-07-01,110.0,107.35,105.75,108.1,3.199997,3.0724885,1.0,1,2.5390661523437497,True,2024-07-05
2024-06-28,125.0,88.39,90.85,93.2,0.0,0.0,2.0,2,2.236332534179687,True,2024-07-05
2024-06-28,130.0,84.01,85.75,88.1,0.0,0.0,1.0,1,1.96484392578125,True,2024-07-05
2024-06-28,135.0,79.65,80.65,83.2,0.0,0.0,4.0,7,1.8320320898437497,True,2024-07-05
2024-06-28,140.0,74.49,75.75,78.1,0.0,0.0,1.0,3,1.7070327148437499,True,2024-07-05
2024-06-28,145.0,69.72,70.8,73.25,0.0,0.0,10.0,32,1.6933609082031251,True,2024-07-05
2024-07-01,150.0,65.3,65.8,68.1,0.44000244,0.678388,5.0,13,1.4941431542968748,True,2024-07-05
2024-06-06,155.0,41.55,60.8,63.25,0.0,0.0,5.0,12,1.4453152734375,True,2024-07-05
2024-06-28,160.0,56.6,55.5,58.15,2.619999,4.853647,1.0,18,1.1015669921875002,True,2024-07-05
2024-06-28,165.0,48.09,50.45,52.9,0.0,0.0,12.0,34,1.6030293286132813,True,2024-07-05
2024-06-28,170.0,44.46,45.5,47.95,0.0,0.0,110.0,174,1.4770533959960939,True,2024-07-05
2024-07-01,175.0,41.99,41.05,42.4,4.890003,13.180602,44.0,182,1.16016044921875,True,2024-07-05
2024-07-01,180.0,37.07,36.25,37.35,5.629999,17.907122,86.0,480,0.6757844921875001,True,2024-07-05
2024-07-01,182.5,34.1,33.5,35.4,5.419998,18.89818,6.0,519,0.773439765625,True,2024-07-05
2024-07-01,185.0,30.99,30.95,32.4,4.699999,17.877514,63.0,1658,0.91211025390625,True,2024-07-05
2024-07-01,187.5,28.75,28.35,30.25,2.9799995,11.563831,4.0,549,0.5429733203125001,True,2024-07-05
2024-07-01,190.0,27.1,26.1,27.7,5.800001,27.230053,151.0,1395,0.5888712988281251,True,2024-07-05
2024-07-01,192.5,23.65,23.15,24.85,4.6499996,24.473682,5.0,75,0.7143583251953125,True,2024-07-05
2024-07-01,195.0,22.1,21.2,22.55,5.1499996,30.383476,69.0,2371,0.7041045214843751,True,2024-07-05
2024-07-01,197.5,18.21,17.95,19.95,2.3799992,15.034739,8.0,142,0.6176796044921876,True,2024-07-05
2024-07-01,200.0,17.0,16.5,17.3,6.05,55.251144,1903.0,9738,0.5195360546875,True,2024-07-05
2024-07-01,202.5,14.65,13.9,15.35,6.0299997,69.9536,108.0,744,0.5661664477539063,True,2024-07-05
2024-07-01,205.0,12.15,11.6,12.4,5.9799995,96.92057,4998.0,4657,0.41699801757812494,True,2024-07-05
2024-07-01,207.5,9.6,9.15,9.7,5.4700003,132.44551,1368.0,5756,0.3139717041015625,True,2024-07-05
2024-07-01,210.0,7.05,6.75,7.3,4.4700003,173.25583,9543.0,12153,0.26807372558593745,True,2024-07-05
2024-07-01,212.5,4.8,4.7,5.0,3.4,242.85713,30858.0,12218,0.22657023437499998,True,2024-07-05
2024-07-01,215.0,2.93,2.87,2.96,2.23,318.5714,135828.0,28874,0.19458813232421873,True,2024-07-05
2024-07-01,217.5,1.52,1.49,1.55,1.15,310.81082,99841.0,16258,0.187508125,False,2024-07-05
2024-07-01,220.0,0.7,0.68,0.7,0.48,218.18182,106626.0,32295,0.18628743408203124,False,2024-07-05
2024-07-01,222.5,0.3,0.27,0.3,0.17000002,130.76926,27294.0,9222,0.192390888671875,False,2024-07-05
2024-07-01,225.0,0.13,0.11,0.13,0.029999994,29.999992,33820.0,7804,0.20313296874999998,False,2024-07-05
2024-07-01,227.5,0.07,0.06,0.07,-0.020000003,-22.222223,6728.0,4853,0.22168747070312497,False,2024-07-05
2024-07-01,230.0,0.05,0.03,0.05,-0.009999998,-16.666662,13875.0,20152,0.249030947265625,False,2024-07-05
2024-07-01,232.5,0.04,0.02,0.04,-0.010000002,-20.000002,3423.0,3038,0.27735097656249996,False,2024-07-05
2024-07-01,235.0,0.02,0.02,0.03,-0.030000001,-60.0,3108.0,5910,0.3007882421875,False,2024-07-05
2024-07-01,237.5,0.02,0.01,0.02,-0.01,-33.333336,676.0,654,0.32031929687499994,False,2024-07-05
2024-07-01,240.0,0.01,0.01,0.02,-0.02,-66.66667,1575.0,13972,0.35156898437499995,False,2024-07-05
2024-07-01,245.0,0.01,0.0,0.01,-0.01,-50.0,1377.0,1875,0.38281867187499996,False,2024-07-05
2024-07-01,250.0,0.01,0.0,0.01,-0.02,-66.66667,270.0,2453,0.437505625,False,2024-07-05
2024-07-01,255.0,0.01,0.0,0.01,0.0,0.0,53.0,904,0.49219257812500006,False,2024-07-05
2024-06-28,260.0,0.01,0.0,0.01,0.0,0.0,85.0,593,0.51562984375,False,2024-07-05
2024-07-01,265.0,0.01,0.0,0.01,0.0,0.0,1.0,2067,0.5625043750000001,False,2024-07-05
2024-07-01,270.0,0.01,0.0,0.01,0.0,0.0,3.0,569,0.6093789062500001,False,2024-07-05
2024-06-26,275.0,0.01,0.0,0.01,0.0,0.0,29.0,558,0.6562534375000001,False,2024-07-05
2024-07-01,280.0,0.01,0.0,0.01,0.0,0.0,1.0,448,0.70312796875,False,2024-07-05
2024-07-01,285.0,0.01,0.0,0.01,0.0,0.0,7.0,2353,0.7500025,False,2024-07-05
2024-06-25,100.0,109.97,115.6,117.35,0.0,0.0,1.0,2,2.2138716528320304,True,2024-07-12
2024-06-21,120.0,91.95,95.6,98.2,0.0,0.0,5.0,5,1.4160185449218752,True,2024-07-12
2024-06-26,130.0,84.2,85.7,87.4,0.0,0.0,3.0,11,1.5556662841796873,True,2024-07-12
2024-06-28,145.0,68.5,70.6,73.4,0.0,0.0,20.0,21,1.076176494140625,True,2024-07-12
2024-06-28,150.0,63.57,65.75,68.3,0.0,0.0,2.0,12,1.01172369140625,True,2024-07-12
2024-06-10,155.0,40.25,60.65,62.45,0.0,0.0,1.0,1,1.1005904345703126,True,2024-07-12
2024-07-01,160.0,57.29,55.75,57.45,3.0499992,5.623155,10.0,12,1.0131885278320314,True,2024-07-12
2024-06-24,165.0,47.6,50.75,53.2,0.0,0.0,1.0,14,0.75586181640625,True,2024-07-12
2024-07-01,170.0,47.0,45.75,47.5,2.630001,5.927431,2.0,107,0.8559584716796875,True,2024-07-12
2024-07-01,175.0,42.19,40.7,42.5,3.9300003,10.271826,41.0,318,0.772463212890625,True,2024-07-12
2024-07-01,180.0,36.79,36.25,37.5,2.9900017,8.84616,16.0,160,0.6904327832031252,True,2024-07-12
2024-07-01,185.0,32.38,31.2,32.55,3.9000015,13.693826,19.0,187,0.6181678808593751,True,2024-07-12
2024-07-01,187.5,28.1,28.95,30.05,1.8999996,7.251907,2.0,29,0.5773968041992188,True,2024-07-12
2024-07-01,190.0,27.34,26.3,27.55,4.99,22.32662,68.0,684,0.5366257275390626,True,2024-07-12
2024-07-01,192.5,23.5,23.3,26.05,1.5499992,7.0614996,9.0,32,0.6296423754882813,True,2024-07-12
